id,certificat
1,ccie-rs 
2,devasc
3,ccna 
4,ccnp 
5,jncia-junos 
6,jncia-sec
7,ccna1
8,ccna2
9,ccna3
10,ccna4
11,microsoft 365 identity and services
12,mcsa windows server
13,itil v4
14,vcp
15,csfpc
16,sfpc
17,ipv6
18,sophos certified engineer
19,sophos certified architect
20,nse 4 network security professional fortinet
21,survey contributor of the agile adoption
22,rwvcpc
23,prince 2
24,nse 7
25,ccna security
26,nse
