id,formation
1,master 
2,licence 
3,ingénieur 
4,dts 
5,bsc 
6,preparatory 
7,classes 
8,classe préparatoire
9,bac 
10,baccalaureate 
11,technicien 
12,technicien spécialisé 
13,baccalauréat 
14,classes préparatoires
